year,city,avg_temp
1845,Tokyo,11.95
1846,Tokyo,12.4
1847,Tokyo,12.21
1848,Tokyo,12.14
1849,Tokyo,12.14
1850,Tokyo,11.71
1851,Tokyo,11.76
1852,Tokyo,11.73
1853,Tokyo,11.86
1854,Tokyo,12.24
1855,Tokyo,12.56
1856,Tokyo,12.06
1857,Tokyo,11.94
1858,Tokyo,12.23
1859,Tokyo,12.15
1860,Tokyo,11.72
1861,Tokyo,11.79
1862,Tokyo,11.73
1863,Tokyo,12.45
1864,Tokyo,11.95
1865,Tokyo,12.39
1866,Tokyo,11.58
1867,Tokyo,12.46
1868,Tokyo,12.25
1869,Tokyo,12.03
1870,Tokyo,16.12
1871,Tokyo,12.12
1872,Tokyo,12
1873,Tokyo,11.53
1874,Tokyo,12.33
1875,Tokyo,12.17
1876,Tokyo,12.39
1877,Tokyo,12.73
1878,Tokyo,12.24
1879,Tokyo,12.82
1880,Tokyo,12.43
1881,Tokyo,12.15
1882,Tokyo,12.29
1883,Tokyo,11.84
1884,Tokyo,11.18
1885,Tokyo,11.53
1886,Tokyo,12.44
1887,Tokyo,12.25
1888,Tokyo,12.01
1889,Tokyo,11.66
1890,Tokyo,13.5
1891,Tokyo,12.42
1892,Tokyo,12.1
1893,Tokyo,11.71
1894,Tokyo,12.92
1895,Tokyo,12.22
1896,Tokyo,12.33
1897,Tokyo,11.72
1898,Tokyo,12.49
1899,Tokyo,12.32
1900,Tokyo,12.11
1901,Tokyo,12.31
1902,Tokyo,12.22
1903,Tokyo,12.34
1904,Tokyo,12.29
1905,Tokyo,12.03
1906,Tokyo,11.66
1907,Tokyo,11.97
1908,Tokyo,11.72
1909,Tokyo,12.04
1910,Tokyo,12
1911,Tokyo,12.81
1912,Tokyo,12.32
1913,Tokyo,11.72
1914,Tokyo,13.1
1915,Tokyo,12.74
1916,Tokyo,13.1
1917,Tokyo,12.04
1918,Tokyo,12.19
1919,Tokyo,12.59
1920,Tokyo,12.69
1921,Tokyo,12.12
1922,Tokyo,12.86
1923,Tokyo,12.64
1924,Tokyo,12.35
1925,Tokyo,12.19
1926,Tokyo,11.74
1927,Tokyo,12.19
1928,Tokyo,12.42
1929,Tokyo,12.44
1930,Tokyo,13
1931,Tokyo,12.16
1932,Tokyo,12.67
1933,Tokyo,12.69
1934,Tokyo,11.85
1935,Tokyo,12.25
1936,Tokyo,12.09
1937,Tokyo,12.86
1938,Tokyo,12.6
1939,Tokyo,12.72
1940,Tokyo,12.66
1941,Tokyo,12.61
1942,Tokyo,12.8
1943,Tokyo,12.48
1944,Tokyo,12.16
1945,Tokyo,11.62
1946,Tokyo,12.86
1947,Tokyo,11.99
1948,Tokyo,13.18
1949,Tokyo,12.62
1950,Tokyo,13.21
1951,Tokyo,12.72
1952,Tokyo,12.65
1953,Tokyo,12.51
1954,Tokyo,12.76
1955,Tokyo,13.42
1956,Tokyo,12.61
1957,Tokyo,12.66
1958,Tokyo,13.09
1959,Tokyo,13.5
1960,Tokyo,13.26
1961,Tokyo,13.66
1962,Tokyo,13.01
1963,Tokyo,12.71
1964,Tokyo,12.93
1965,Tokyo,12.27
1966,Tokyo,12.81
1967,Tokyo,12.85
1968,Tokyo,12.75
1969,Tokyo,12.64
1970,Tokyo,12.35
1971,Tokyo,12.52
1972,Tokyo,13.17
1973,Tokyo,12.96
1974,Tokyo,12.23
1975,Tokyo,12.72
1976,Tokyo,12.19
1977,Tokyo,12.94
1978,Tokyo,13.05
1979,Tokyo,13.83
1980,Tokyo,12.35
1981,Tokyo,12.06
1982,Tokyo,12.91
1983,Tokyo,12.64
1984,Tokyo,11.98
1985,Tokyo,12.9
1986,Tokyo,12.22
1987,Tokyo,13.41
1988,Tokyo,12.44
1989,Tokyo,13.35
1990,Tokyo,14.14
1991,Tokyo,13.32
1992,Tokyo,12.94
1993,Tokyo,12.49
1994,Tokyo,13.78
1995,Tokyo,12.98
1996,Tokyo,12.61
1997,Tokyo,13.43
1998,Tokyo,13.74
1999,Tokyo,13.78
2000,Tokyo,13.5
2001,Tokyo,13.13
2002,Tokyo,13.42
2003,Tokyo,12.89
2004,Tokyo,14.05
2005,Tokyo,12.99
2006,Tokyo,13.28
2007,Tokyo,13.68
2008,Tokyo,13.31
2009,Tokyo,13.55
2010,Tokyo,13.82
2011,Tokyo,13.32
2012,Tokyo,13.11
2013,Tokyo,13.91
